Target Name	101287 2001	101287 2002	101287 2004	101287 2005	101287 2007	101287 2008	101287 2011	101287 2013	101287 2014	10233 4004	10233 4005	10233 4006	10233 4007	10233 4008	10233 4009	10233 4010	10233 4011	10233 4014	10233 4015	10233 4016	10233 4017	10233 4018	10233 4019	10233 4020	107466 2003	107466 2005	107466 2006	107466 2007	107466 2008	107466 2009	107466 2010	107466 2011	107466 2012	107466 2013	107466 2015	107466 2016	107466 2017	107466 2021	98016 2006	98016 2007	98016 2009	98016 2010	98016 2014	98016 2016	98016 2018	98016 2019
CLCF1	3.700439718	3.234735427	2.33235562	1.962756238	0.5169925	3.858712291	3.73146369	5.209006476	2.9169925	3.879046575	4.437868397	6.204891627	5.167157657	5.854821307	6.013604034	5.878755982	4.085331575	5.031026644	4.775884118	6.416885285	5.382691549	5.29208598	3.621827377	5.020989035	2.9509775	2.490242222	1.433985	1.433985	1.4	2.073264443	1.7169925	0.9169925	1.762756238	1.815363119	2.376834104	1.659841604	2.673264443	1.328771238	2.459841604	6.8229629	3.312448485	5.149274673	4.367843219	2.668859182	2.581378119	3.007234723
DUSP2	4.288556193	4.171036478	3.098079356	3.079070383	1.688721876	5.386455347	5.455038507	5.910844273	3.70807417	5.266185691	5.718381399	7.200000504	6.661545293	7.024926933	6.849956811	7.502117457	6.316529742	6.448840686	6.586115157	7.469861585	6.796710671	6.669219872	5.86017342	6.614127991	4.155284028	3.734802971	2.976722649	1.726722649	1.476722649	3.412931108	2.984159485	3.071783797	3.658277189	1.476722649	3.071350555	3.680167947	3.812796626	3.234159485	4.037912707	7.776974382	3.966179539	6.009932627	5.270141933	3.691994375	3.447587124	3.665444524
GTF2H3	4.494992103	3.592624372	2.344134357	2.687342308	1.615363119	4.463661779	4.404488464	5.472082085	3.513448621	3.954420379	4.65227621	6.261119813	5.780557104	6.018418182	6.108848718	5.955000954	4.395127058	5.070202345	5.202156563	6.610559458	5.889902129	5.610649989	3.831499981	5.436309076	4.015292667	2.912448485	1.498370619	2.064385619	0.9169925	2.3509775	2.607234723	2.195455985	2.445763738	2.015363119	3.124227223	2.195455985	2.840684896	1	2.999929547	6.896598228	2.982128546	5.331266657	4.489054711	3.137650062	2.621312588	3.223707116
IFIT2	3.719028181	4.075978465	2.3509775	1.898370619	0.833985	4.258105479	3.885462569	6.230305611	3.385712928	3.994232363	4.77764341	6.121857642	5.514108219	6.194266572	6.120943016	5.937515034	4.328062405	5.26986575	4.948136501	6.595331118	5.68693893	5.227907273	3.565638456	5.300296984	3.238458563	2.5509775	2.045763738	1.864385619	0.6	2.735543928	2.471620341	1.033985	2.33235562	0.7169925	1.698370619	1.233985	4.881807735	1.898370619	2.962756238	6.818603664	3.293826604	5.243465174	4.452035057	2.161470984	2.433985	2.721466063
CENPF	5.353180112	4.288044066	3.630726239	3.733106047	2.90790447	5.403019297	5.182344226	5.838019903	4.243614251	3.954420379	4.573323503	6.027669693	5.517846402	5.897455304	5.918704565	5.796169606	3.955617993	4.926807989	4.757447881	6.39354908	5.493869538	5.272274448	4.035437184	5.247590779	4.082143267	2.376834104	1.5169925	1.645763738	1.5169925	1.781378119	2.059841604	2.064385619	2.742849104	1.464385619	2.707249443	1.667970001	2.885698207	1.233985	3.779228632	7.131625789	3.776834104	5.332383796	4.772283311	3.538305088	2.919028181	2.924227223
NODAL	3.33235562	3.388612842	1.033985	2.067970001	0.833985	3.530176691	3.608519976	5.045142281	2.484412953	3.582643335	4.03554814	5.886317637	4.822096471	5.673295701	5.704118749	5.403687278	4.041219723	4.782652686	4.418529752	6.02787439	5.08432093	5.281154192	3.419836682	4.999289422	1.762756238	1.781378119	0	1.033985	0.4	1.825856603	1.698370619	1.298370619	1.1169925	0.6	1.581378119	1.561470984	1.581378119	1.1169925	2.259841604	6.676947383	2.821312588	4.97807594	4.036020681	2.712448485	2.279748738	2.162756238
TMUB2	4.086521429	3.789436063	2.215363119	2.996741239	1.381378119	4.325512476	4.488627562	5.685526023	3.385712928	3.938958631	4.924178914	6.481194443	6.117846402	6.376502228	6.334832515	6.327611299	4.749834273	5.333804007	5.387423354	6.893358156	5.915398078	5.636246014	4.547728139	5.653817692	3.491815871	3.338305088	1.698370619	2.756926969	1.7169925	3.04934812	3.010819104	2.045763738	2.872443563	1.691886324	2.954627841	2.181378119	3.425856603	2.779228632	2.924227223	7.029616174	3.804334809	5.184748888	4.522918247	3.215363119	2.310149357	2.839934469
MXI1	4.275035044	3.504834877	2.015363119	2.679748738	1.3509775	4.228870906	3.982128546	5.146188276	3.141234443	4.052929753	4.557309127	6.228985297	5.470606179	5.84965442	5.827067189	5.951491906	4.229834309	5.009689791	4.880178388	6.253712082	5.550929199	5.228354607	3.814233807	5.266472855	3.912461902	3.046514165	1.645763738	2.259841604	1.581378119	2.971100235	2.245763738	1.928771238	3.013184191	2.690242222	3.271620341	1.581378119	2.807234723	2.059841604	2.882937047	6.877752907	3.30523871	5.122612563	4.429536386	3.196741239	2.807234723	2.5509775
COL1A2	6.594727796	6.342413783	5.050921768	5.072304809	3.559856324	7.14181601	7.076671314	7.327711471	6.29458435	8.462720893	7.841958635	8.313075824	9.644043267	9.350048735	8.899839457	9.33334403	7.195623347	7.590638926	8.822486945	8.913535431	8.499002131	7.487255573	7.713124622	8.620609153	7.303672081	7.953877226	6.37495508	6.588334281	6.226228954	6.687552488	7.132212372	6.909027718	6.630670139	5.819321981	7.796357591	5.993139945	7.680874833	5.08350005	6.397394932	8.271954679	6.315769419	6.784674764	5.86618612	4.922777133	4.331226307	4.512510117
AICDA	3.591830592	3.234548003	2.045763738	1.898370619	0.5169925	3.945541555	3.614233807	4.963793422	2.583772647	3.433914548	4.04492282	6.008391909	5.061361576	5.674623596	5.736814876	5.774761629	3.990256943	4.830844955	4.850381534	6.294405426	5.273850215	5.280207565	3.630844955	4.925566617	2.759856324	1.9169925	0.2	1.381378119	0.981378119	1.445763738	0.6	0.9169925	0.864385619	0.864385619	1.445763738	0.9169925	2.1169925	1.833985	2.215363119	6.727607356	3.335543928	5.083957583	4.759012609	3.414828293	1.928771238	2.639934469
PLK1	4.997835272	3.994326672	2.829440985	3.165805793	2.498370619	4.683543313	4.775704791	5.467162975	3.719028181	3.816913932	4.507416373	6.361380375	5.645937925	6.18908946	6.093655824	6.091528653	4.247337387	5.123412949	5.097930007	6.580216182	5.517917114	5.474165772	4.016628335	5.460367882	3.956451199	3.048813293	0.8	2.310149357	0.9169925	2.154627841	2.407234723	2.298370619	2.395455985	1.3169925	3.196741239	2.098370619	3.085043181	1.381378119	3.038319809	7.163275979	3.565805793	5.189846795	4.649334204	2.676848824	3.244408032	3.072443563
NKX2-1	3.829070383	3.113831805	1.04248125	1.54248125	1.29248125	3.719321033	3.45042709	4.604926279	2.428561379	3.574802005	4.01352388	5.940556879	4.924309773	5.566103777	5.730338752	5.269629248	3.620449858	4.527253605	4.357122759	5.916339944	5.092547862	4.968919342	3.151659136	4.949820405	2.793419284	2.428561379	0	0.5	0.5	2.203445298	1.598079356	0.646240625	1.953445298	0.580482024	0.5	1.976722649	2.122963274	0.5	2.269203899	6.626921565	3.005418511	4.622085569	4.228969845	3.125956434	2.057204673	1.976722649
CD74	10.27570931	8.978536076	9.53126408	9.563929303	8.067839867	10.70473707	11.07860395	11.27603829	9.643796621	10.80905404	11.93100777	12.57944606	12.9197851	12.63267855	12.72920776	12.62143411	11.54852617	11.68751434	12.13842191	12.95904811	13.13317986	11.46738019	11.20107365	11.84876454	10.76289119	10.77333074	9.548069491	9.753111158	8.847843414	10.89640965	10.88499154	9.640270488	9.894488226	9.563253475	10.07117744	10.39022495	10.67771427	10.20760892	9.461956081	12.14851383	9.359909628	11.02206777	10.1873805	8.915366173	9.199450539	8.625886338
MIA	4.087735633	3.875062199	2.679748738	2.845883938	1.278463485	4.479046575	4.294219928	5.572811	3.021312588	4.041541573	4.522660055	6.332765953	5.406575317	6.197190141	6.173873078	6.065484981	4.59957241	5.107029061	4.886795315	6.540496169	5.619674073	5.388432448	4.067078071	5.572303506	3.207234723	2.128771238	1	1.4	0.8	1.498370619	1.181378119	2.290242222	2.215363119	1.064385619	1.562756238	1.845763738	2.724227223	2.039934469	2.879213912	7.087950559	3.852040572	5.357388081	4.905156727	3.306714616	2.839934469	3.227141857
