,logFC,AveExpr,t,P.Value,adj.P.Val,B
SERPINA1,-0.535945952,5.561444042,-3.326348375,0.002118519,0.039574803,-1.627110315
GZMA,-0.216658575,5.097303621,-3.309537049,0.002216773,0.039969691,-1.668974978
IL10,0.230751907,5.002281297,3.309341121,0.002217943,0.039969691,-1.669462271
RIPK2,-0.28599168,5.056878459,-3.308449404,0.002223278,0.039969691,-1.671679886
CSF1R,-0.442373946,5.755157632,-3.287424856,0.002352662,0.041571359,-1.723879612
STAT6,-0.329308615,5.555528102,-3.279330478,0.002404368,0.041571359,-1.743931908
JAML,-0.216336099,5.095700359,-3.261913721,0.002519332,0.042268791,-1.786994104
IFI27,-0.546774903,5.712626021,-3.234707119,0.00270948,0.044239996,-1.854027801
MS4A6A,-0.442250295,5.551280446,-3.23126636,0.002734481,0.044239996,-1.862484928
IL10RA,-0.398680882,5.827733385,-3.223905876,0.002788704,0.044717978,-1.880560885
KLRK1,-0.294907725,4.922388702,-3.216276882,0.002845986,0.044874199,-1.899273793
LAG3,-0.436380381,5.211192995,-3.216014457,0.002847976,0.044874199,-1.899917078
CD68,-1.136522172,6.294397303,-3.212687112,0.002873326,0.044883335,-1.908071081
FGCR2A/B,-0.454536399,5.913657348,-3.196025037,0.003003536,0.045734515,-1.948837195
IRF9,-0.861448371,6.211500993,-3.178409854,0.003147297,0.046445863,-1.991814622
CD84,-0.390753814,5.295914036,-3.177609268,0.003153983,0.046445863,-1.993764923
FCER1A,0.213881488,5.275626338,3.172415422,0.003197694,0.046445863,-2.006411315
HSD17B8,0.220467968,5.364290429,3.171666231,0.003204047,0.046445863,-2.008234603
CCND2,-0.238655266,5.512008446,-3.153901694,0.003358239,0.047757144,-2.051400904
APOL6,-0.70422681,5.976304633,-3.152949016,0.003366704,0.047757144,-2.053712189
CD58,-0.228742144,5.285708946,-3.150401369,0.003389442,0.047757144,-2.059891198
SHC3,0.222266209,5.346556915,3.147448468,0.003415979,0.047757144,-2.067049767
RYBP,0.293998657,6.184369822,3.145712313,0.003431673,0.047757144,-2.071256967
DSC3,0.267452085,5.199051725,3.13942239,0.003489108,0.047757144,-2.086488858
AIRE,0.249547435,5.165778067,3.139194506,0.003491206,0.047757144,-2.087040404
